"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 21:22:49 GMT 2021","Fri Aug 13 21:22:55 GMT 2021","6426","test_conduit","test_TC07_pagination","TestConduitApp","","","test_pagination",""
"passed","Fri Aug 13 21:22:05 GMT 2021","Fri Aug 13 21:22:08 GMT 2021","3483","test_conduit","test_TC03_signup_dynamic","TestConduitApp","","","test_registration_dynamic_userdata",""
"passed","Fri Aug 13 21:24:08 GMT 2021","Fri Aug 13 21:24:11 GMT 2021","2412","test_conduit","test_TC12_logout","TestConduitApp","","","test_log_out",""
"passed","Fri Aug 13 21:22:39 GMT 2021","Fri Aug 13 21:22:47 GMT 2021","7568","test_conduit","test_TC06_listing","TestConduitApp","","","test_list_all_posts_of_testuser2",""
"passed","Fri Aug 13 21:21:54 GMT 2021","Fri Aug 13 21:21:59 GMT 2021","4087","test_conduit","test_TC01_accept_cookies","TestConduitApp","","","test_accept_cookies",""
"broken","Fri Aug 13 21:23:50 GMT 2021","Fri Aug 13 21:24:00 GMT 2021","9165","test_conduit","test_TC09_modify_user_profile","TestConduitApp","","","test_modify_user_name",""
"passed","Fri Aug 13 21:22:10 GMT 2021","Fri Aug 13 21:22:10 GMT 2021","323","test_conduit","test_TC03_signup_dynamic","TestConduitApp","","","test_attach_userdata",""
"passed","Fri Aug 13 21:22:11 GMT 2021","Fri Aug 13 21:22:15 GMT 2021","4116","test_conduit","test_TC04_signin","TestConduitApp","","","test_sign_in",""
"passed","Fri Aug 13 21:22:56 GMT 2021","Fri Aug 13 21:23:49 GMT 2021","53270","test_conduit","test_TC08_upload_post_from_file","TestConduitApp","","","test_create_new_blogposts_from_file",""
"passed","Fri Aug 13 21:22:00 GMT 2021","Fri Aug 13 21:22:03 GMT 2021","2768","test_conduit","test_TC02_signup_wrong_pwd","TestConduitApp","","","test_registration_wrong_pw",""
"passed","Fri Aug 13 21:22:16 GMT 2021","Fri Aug 13 21:22:17 GMT 2021","330","test_conduit","test_TC04_signin","TestConduitApp","","","test_attach_userdata",""
"passed","Fri Aug 13 21:24:00 GMT 2021","Fri Aug 13 21:24:07 GMT 2021","6483","test_conduit","test_TC11_save_article_text_to_file","TestConduitApp","","","test_save_article_text",""
"passed","Fri Aug 13 21:22:17 GMT 2021","Fri Aug 13 21:22:38 GMT 2021","20476","test_conduit","test_TC05_create_new_blogpost","TestConduitApp","","","test_create_new_blogpost",""
